trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
338,False,"{'a': 0.5, 'e': 0.03347308759177372}",20,16,7.3438011926167395,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.5, 'e': 0.03313835671585598}",25,19,11.259474044291927,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.5, 'e': 0.03280697314869742}",35,11,40.14692466563624,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.5, 'e': 0.03247890341721044}",20,6,2.494042972647565,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
342,False,"{'a': 0.5, 'e': 0.03215411438303834}",30,16,4.127306952446209,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
343,False,"{'a': 0.5, 'e': 0.031832573239207955}",25,16,16.228598710129646,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.5, 'e': 0.031514247506815876}",25,6,6.354294704209892,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
345,False,"{'a': 0.5, 'e': 0.031199105031747717}",20,0,20.2655817350676,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
346,False,"{'a': 0.5, 'e': 0.03088711398143024}",25,19,8.818679122331716,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.5, 'e': 0.030578242841615935}",20,3,-13.53250452873363,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
348,False,"{'a': 0.5, 'e': 0.030272460413199778}",25,0,36.86928823745347,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
